,XBB.TO,XCB.TO,XEF.TO,XEM.TO,XHY.TO,XIG.TO,XIU.TO,XSB.TO,XUS.TO
1999-10-04,,,,,,,5.555630207061768,,
1999-10-05,,,,,,,5.515612602233887,,
1999-10-06,,,,,,,5.548962593078613,,
1999-10-07,,,,,,,5.582306861877441,,
1999-10-08,,,,,,,5.622325420379639,,
1999-10-12,,,,,,,5.628994464874268,,
1999-10-13,,,,,,,5.5356221199035645,,
1999-10-14,,,,,,,5.502274513244629,,
1999-10-15,,,,,,,5.422241687774658,,
1999-10-18,,,,,,,5.4289093017578125,,
1999-10-19,,,,,,,5.395562171936035,,
1999-10-20,,,,,,,5.4755964279174805,,
1999-10-21,,,,,,,5.508941650390625,,
1999-10-22,,,,,,,5.582306861877441,,
1999-10-25,,,,,,,5.582306861877441,,
1999-10-26,,,,,,,5.5689697265625,,
1999-10-27,,,,,,,5.542291641235352,,
1999-10-28,,,,,,,5.662342071533203,,
1999-10-29,,,,,,,5.769052028656006,,
1999-11-01,,,,,,,5.809067249298096,,
1999-11-02,,,,,,,5.735706329345703,,
1999-11-03,,,,,,,5.749042510986328,,
1999-11-04,,,,,,,5.7823896408081055,,
1999-11-05,,,,,,,5.809067249298096,,
1999-11-08,,,,,,,5.809067249298096,,
1999-11-09,,,,,,,5.815738677978516,,
1999-11-10,,,,,,,5.869093894958496,,
1999-11-11,,,,,,,5.975804328918457,,
1999-11-12,,,,,,,6.00915002822876,,
1999-11-15,,,,,,,6.115865230560303,,
1999-11-16,,,,,,,6.075847148895264,,
1999-11-17,,,,,,,6.055840015411377,,
1999-11-18,,,,,,,6.115865230560303,,
1999-11-19,,,,,,,6.155881404876709,,
1999-11-22,,,,,,,6.102524757385254,,
1999-11-23,,,,,,,6.142540454864502,,
1999-11-24,,,,,,,6.215904235839844,,
1999-11-25,,,,,,,6.275928974151611,,
1999-11-26,,,,,,,6.302605628967285,,
1999-11-29,,,,,,,6.189225673675537,,
1999-11-30,,,,,,,5.989141464233398,,
1999-12-01,,,,,,,6.042498588562012,,
1999-12-02,,,,,,,6.102524757385254,,
1999-12-03,,,,,,,6.195897102355957,,
1999-12-06,,,,,,,6.255917549133301,,
1999-12-07,,,,,,,6.275928974151611,,
1999-12-08,,,,,,,6.182555675506592,,
1999-12-09,,,,,,,6.175887107849121,,
1999-12-10,,,,,,,6.3226118087768555,,
